v8-version,6,0,287,53,0
code-creation,Stub,17,5763,0x3a8437e42ac0,248,"BinaryOpICStub"
code-creation,Stub,3,5769,0x3a8437e42bc0,515,"CreateAllocationSiteStub"
code-creation,Stub,3,5801,0x3a8437e42de0,2324,"RecordWriteStub"
code-creation,Stub,3,5807,0x3a8437e43700,1006,"RecordWriteStub"
code-creation,Stub,3,5814,0x3a8437e43b00,215,"DoubleToIStub"
code-creation,Stub,3,5821,0x3a8437e43be0,2298,"RecordWriteStub"
code-creation,Handler,4,5829,0x3a8437e444e0,776,"An IC handler from the snapshot"
code-creation,Stub,17,5836,0x3a8437e44800,228,"BinaryOpICStub"
code-creation,Stub,17,5843,0x3a8437e44900,455,"BinaryOpICStub"
code-creation,Stub,3,5849,0x3a8437e44ae0,2273,"RecordWriteStub"
code-creation,Stub,17,5855,0x3a8437e453e0,483,"BinaryOpICStub"
code-creation,Stub,3,5861,0x3a8437e455e0,495,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,5868,0x3a8437e457e0,3437,"SubStringStub"
code-creation,Stub,3,5874,0x3a8437e46560,1012,"RecordWriteStub"
code-creation,Stub,17,5880,0x3a8437e46960,228,"BinaryOpICStub"
code-creation,Stub,17,5886,0x3a8437e46a60,455,"BinaryOpICStub"
code-creation,Stub,3,5892,0x3a8437e46c40,2273,"RecordWriteStub"
code-creation,Stub,17,5898,0x3a8437e47540,455,"BinaryOpICStub"
code-creation,Stub,3,5904,0x3a8437e47720,2298,"RecordWriteStub"
code-creation,Stub,17,5910,0x3a8437e48020,173,"BinaryOpICStub"
code-creation,Stub,17,5916,0x3a8437e480e0,173,"BinaryOpICStub"
code-creation,Stub,17,5923,0x3a8437e481a0,451,"BinaryOpICStub"
code-creation,Stub,17,5931,0x3a8437e48380,312,"BinaryOpICStub"
code-creation,Stub,17,5938,0x3a8437e484c0,248,"BinaryOpICStub"
code-creation,Stub,17,5947,0x3a8437e485c0,336,"BinaryOpICStub"
code-creation,Stub,17,5954,0x3a8437e48720,423,"BinaryOpICStub"
code-creation,Stub,3,5960,0x3a8437e488e0,149,"StubFailureTrampolineStub"
code-creation,Stub,17,5967,0x3a8437e48980,240,"BinaryOpICStub"
code-creation,Stub,17,5977,0x3a8437e48a80,240,"BinaryOpICStub"
code-creation,Stub,17,5986,0x3a8437e48b80,248,"BinaryOpICStub"
code-creation,Stub,3,5994,0x3a8437e48c80,2286,"RecordWriteStub"
code-creation,Stub,3,6001,0x3a8437e49580,459,"CallApiGetterStub"
code-creation,Stub,3,6007,0x3a8437e49760,2298,"RecordWriteStub"
code-creation,Stub,17,6013,0x3a8437e4a060,439,"BinaryOpICStub"
code-creation,Stub,17,6020,0x3a8437e4a220,240,"BinaryOpICStub"
code-creation,Stub,17,6027,0x3a8437e4a320,173,"BinaryOpICStub"
code-creation,Stub,3,6035,0x3a8437e4a3e0,2315,"RecordWriteStub"
code-creation,Stub,17,6042,0x3a8437e4ad00,300,"BinaryOpICStub"
code-creation,Handler,4,6048,0x3a8437e4ae40,340,"An IC handler from the snapshot"
code-creation,Handler,4,6054,0x3a8437e4afa0,340,"An IC handler from the snapshot"
code-creation,Stub,17,6061,0x3a8437e4b100,300,"BinaryOpICStub"
code-creation,Stub,3,6068,0x3a8437e4b240,2270,"RecordWriteStub"
code-creation,Stub,17,6074,0x3a8437e4bb20,423,"BinaryOpICStub"
code-creation,Stub,3,6081,0x3a8437e4bce0,2302,"RecordWriteStub"
code-creation,Stub,17,6089,0x3a8437e4c5e0,308,"BinaryOpICStub"
